texto	classe
Leadership is the key to 99 percent of all successful efforts.	success
The professional has learned that success, like happiness, comes as a by-product of work. The professional concentrates on the work and allows rewards to come or not come, whatever they like.	success
Every young man would do well to remember that all successful business stands on the foundation of morality.	success
The ability to convert ideas to things is the secret of outward success.	success
If we go to work at 8 am and go home at 5 pm, this is not a high-tech company and Alibaba will never be successful. If we have that kind of 8-to-5 spirit, then we should just go and do something else.	success
The secret of my success is a two word answer: Know people.	success
The doers are the major thinkers. The people that really create the things that change this industry are both the doer/thinker in one person.	success
mbining all of those skills together, the art and the science, the thinking and the doing, was what resulted in the exceptional result.	success
No matter how successful you are in your career, you must always remember that we are here to live. If you keep yourself busy working, you will surely regret it.	success
We are successful today not because we did a great job today, but because we had a dream 15 years ago, and we believed that the Internet could help small businesses.	success
The biggest hurdle is rejection. Any business you start, be ready for it. The difference between successful people and unsuccessful people is the successful people do all the things the unsuccessful people don’t want to do. When 10 doors are slammed in your face, go to door number 11 enthusiastically, with a smile on your face.	success
Great achievers are driven, not so much by the pursuit of success, but by the fear of failure.	success
Successful enterprises are built from the ground up. You can’t assemble them with a bunch of acquisitions.	success
Reputation is the key to success. You have to be loyal to your customers.	success
People are the key to success or extraordinary success.	success
The secret of joy in work is contained in one word – excellence. To know how to do something well is to enjoy it.	success
Success comes when people act together; failure tends to happen alone.	success
Nothing reinforces a professional relationship more than enjoying success with someone.	success
ming together is a beginning. Keeping together is progress. Working together is success.	success
The keystone of successful business is cooperation. Friction retards progress.	success
Your successes and happiness are forgiven you only if you generously consent to share them.	success
Success is the one unpardonable sin against our fellows.	success
All those who are around me are the bridge to my success, so they are all important.	success
I believe that people who don’t achieve anything in life are isolated and resent those that are successful.	success
My mum always told me 95 per cent of success was partnering well.	success
Successful organizations, including the Military, have learned that the higher the risk, the more necessary it is to engage everyone’s commitment and intelligence.	success
The success of each of us benefits us all, and the success of us all benefits each of us individually.	success
Being a part of success is more important than being personally indispensable.	success
Fortune sides with him who dares.	success
Stop chasing the money and start chasing the passion.	success
The truly passionate people do it out of love, caring and truth.	success
While money can’t buy happiness, it certainly lets you choose your own form of misery.	success
A successful man is one who can lay a firm foundation with the bricks others have thrown at him.	success
The ideals which have lighted me on my way and time after time given me new courage to face life cheerfully, have been truth, goodness, and beauty… The ordinary objects of human endeavour – property, outward success, luxury – have always seemed to me contemptible.	success
Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.	success
I was working eighteen hours a day, seven days a week, trying to build a business, expand our coverage, and bring in investors. But my life, I realized, was out of control. In terms of the traditional measures of success, which focus on money and power, I was very successful. But I was not living a successful life by any sane definition of success. I knew something had to radically change. I could not go on that way.	success
To live the lives we truly want and deserve, and not just the lives we settle for, we need a Third Metric, a third measure of success that goes beyond the two metrics of money and power, and consists of four pillars: well-being, wisdom, wonder and giving.	success
Success and money can really be quite blinding.	success
Real success is know about money, it’s about making an positive impact in the world.	success
Don’t think money does everything or you are going to end up doing everything for money.	success
Money is like manure. It stinks when you pile it; it grows when you spread it.	success
Real riches are the riches possessed inside.	success
The test of our progress is not whether we add more to the abundance of those who have much; it is whether we provide enough for those who have too little.	success
That should be the measure of success for everyone. It’s not money, it’s not fame, it’s not celebrity; my index of success is happiness.	success
A little thought and a little kindness are often worth more than a great deal of money.	success
What material success does is provide you with the ability to concentrate on other things that really matter. And that is being able to make a difference, not only in your own life, but in other people’s lives.	success
Too many people spend money they earned..to buy things they don’t want..to impress people that they don’t like.	success
Top 15 things money can’t buy: Time. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.	success
A wise person should have money in their head, but not in their heart.	success
Wealth consists not in having great possessions, but in having few wants.	success
Nothing is particularly hard if you break it down into small jobs.	success
You don’t have to show people how successful you are.	success
What would you like the most on your tombstone? ‘She/he was famous’ or ‘she/he was a kind and loving friend’?	success
The more that you read, the more things you will know. The more you learn, the more places you’ll go!	success
No-one knows what he can do until he tries.	success
Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.	success
Winning doesn’t always mean being first. Winning means you’re doing better than you’ve done before.	success
The most important aspect of my personality as far as determining my success goes; has been my questioning conventional wisdom, doubting experts and questioning authority. While that can be painful in your relationships with your parents and teachers, it’s enormously useful in life.	success
You’re braver than you believe, and stronger than you seem, and smarter than you think.	success
Every action in our lives touches on some chord that will vibrate in eternity.	success
Be silly, be honest, be kind.	success
Don’t let what you can’t do stop you from doing what you can do.	success
Give the world the best you have, and the best will come to you.	success
Fall seven times, stand up eight.	success
Play is our brain’s favorite way of learning.	success
Don’t expect your friend to be a perfect person. But, help your friend to become a perfect person. That is true friendship!	success
It doesn’t matter how slowly you go – as long as you don’t stop!	success
Never give up on what you really want to do. The person with big dreams is more powerful than one with all the facts.	success
If you have good thoughts they will shine out of your face like sunbeams and you will always look lovely.	success
No kid is unsmart. Every kid’s a genius at something. Our job is to find it. And then encourage it.	success
Pulling someone down will never help you reach the top.	success
Why fit in when you were born to stand out?	success
Fame and success are very different things.	success
True success is having done his best to be his best.	success
The measure of success is happiness and peace of mind.	success
You are great. Already. Whether you realize it or not. Whether anybody else realizes it or not. And it’s not because you launched an iPhone app, or finished school a year early, or bought yourself a sweet-ass boat. These things do not define greatness.	success
Integrity is more valuable than income. Honor is richer than fame. Self-worth is wealthier than net worth.	success
The man who has done his level best… is a success, even though the world may write him down a failure.	success
The great secret of true success, of true happiness, is this: the man or woman who asks for no return, the perfectly unselfish person, is the most successful.	success
Work for something because it is good, not just because it stands a chance to succeed.	success
For some, success and happiness mean popularity, noise, having the spotlight. For others, it means peace, wisdom, silence, doing what’s important to you and making an impact.	success
One should guard against preaching to young people success in the customary form as the main aim in life. The most important motive for work in school and in life is pleasure in work, pleasure in its result and the knowledge of the value of the result to the community.	success
The greatest compliment that was ever paid me was when one asked me what I thought, and attended to my answer.	success
Neither self nor wealth can be measured in terms of what you consume or own.	success
My mother drew a distinction between achievement and success. She said that achievement is the knowledge that you have studied and worked hard and done the best that is in you. Success is being praised by others, and that’s nice, too, but not as important or satisfying. Always aim for achievement and forget about success.	success
Love the moment. Flowers grow out of dark moments. Therefore, each moment is vital. It affects the whole. Life is a succession of such moments and to live each, is to succeed.	success
True success, true happiness lies in freedom and fulfillment.	success
To follow without halt, one aim; there is the secret of success. And success? What is it? I do not find it in the applause of the theater; it lies rather in the satisfaction of accomplishment.	success
If I have been of service, if I have glimpsed more of the nature and essence of ultimate good, if I am inspired to reach wider horizons of thought and action, if I am at peace with myself, it has been a successful day.	success
What we’re beginning to recognize now is that success is not always about doing more, but also about doing better, and we do better when we’re connected to our inner wisdom, strength, and intuition.	success
Success is a journey, not a destination. The doing is often more important than the outcome.	success
I don’t believe the most successful people are the ones who got the best grades, got into the best schools, or made the most money.	success
Most of the successful people I’ve known are the ones who do more listening than talking.	success
Success is about enjoying what you have and where you are, while pursuing achievable goals.	success
Do your best when no one is looking. If you do that, then you can be successful in anything that you put your mind to.	success
Successful people are always looking for opportunities to help others. Unsuccessful people are always asking, “What’s in it for me?”.	success
Being best is a false goal, you have to measure success on your own terms.	success
Beauty is not in the face; beauty is a light in the heart.	success
I don’t work for the others, I work for myself. And I chose the way to work for myself. But working for myself, that means working for the society. If you really want to work for yourself, think about the others, the DT time, making sure you help others, because only when the other people are successful, when the other people are happy, you’ll be successful, you’ll be happy.	success
Success comes from knowing that you did your best to become the best that you are capable of becoming.	success
The successful man doesn’t use others, other people use the successful man, for above all the success is of service.	success
Success is about honour, feeling morally calibrated, absence of shame, not what some newspaper defines from an external metric.	success
Success is the progressive realization of predetermined, worthwhile, personal goals.	success
Success in anything is through happiness.	success
Modesty should be typical of the success of a champion.	success
I think people often confuse success with fame and stardom.	success
We must do our work for its own sake, not for fortune or attention or applause.	success
Success is simple. Do what’s right, the right way, at the right time.	success
Six essential qualities that are the key to success: Sincerity, personal integrity, humility, courtesy, wisdom, charity.	success
Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.	success
A great secret of success is to go through life as a man who never gets used up.	success
Success is the good fortune that comes from aspiration, desperation, perspiration and inspiration.	success
There is no scientific answer for success. You can’t define it. You’ve simply got to live it and do it.	success
So I feel like success is opportunity plus preparation, so work begets work, and as long as you’re prepared it’s going to continue to come your way.	success
One important key to success is self-confidence. An important key to self-confidence is preparation.	success
One secret of success in life is for a man to be ready for his opportunity when it comes.	success
The key to success is to focus our conscious mind on things we desire not things we fear.	success
Experience shows that success is due less to ability than to zeal.	success
The first requisite for success is the ability to apply your physical and mental energies to one problem incessantly without growing weary.	success
The key is over time. Success is built sequentially. It’s one thing at a time.	success
The secret of success is sincerity.	success
Success is doing ordinary things extraordinarily well.	success
Singleness of purpose is essential for success in life.	success
The key to my success has been to give up everything for my dream.	success
The key to success is to keep growing in all areas of life – mental, emotional, spiritual, as well as physical.	success
Success follows doing what you want to do. There is no other way to be successful.	success
Success is achieved by developing our strengths, not by eliminating our weaknesses.	success
Without an open-minded mind, you can never be a great success.	success
Failure is the key to success; each mistake teaches us something.	success
Four things for success: work and pray, think and believe.	success
Integrity is the essence of everything successful.	success
Success has a simple formula: do your best, and people may like it.	success
Success in any endeavor depends on the degree to which it is an expression of your true self.	success
Climb mountains not so the world can see you, but so you can see the world.	success
