texto	classe
Peace is not achieved by controlling nations, but mastering our thoughts.	peace
Peace is not the absence of war but the presence of justice.	peace
Peace is not the absence of war; it is a virtue; a state of mind; a disposition for benevolence; confidence; and justice.	peace
Peace is a daily, a weekly, a monthly process, gradually changing opinions, slowly eroding old barriers, quietly building new structures.	peace
Peace is costly but it is worth the expense.	peace
Peace is the only battle worth waging.	peace
If we have no peace, it is because we have forgotten that we belong to each other.	peace
There never was a good war or a bad peace.	peace
Peace cannot be achieved through violence, it can only be attained through understanding.	peace
I believe our sorrow can make us a better country. I believe our righteous anger can be transformed into more justice and more peace.	peace
Peace comes from within. Do not seek it without.	peace
If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner.	peace
No one is born hating another person because of the color of his skin, or his background, or his religion. People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite.	peace
I was a drum major for peace.	peace
There is something strangely inconsistent about a nation and a press that would praise you when you say, ‘Be nonviolent toward Jim Clark,’ but will curse and damn you when you say, ‘Be nonviolent toward little brown Vietnamese children.’ There is something wrong with that press.	peace
Some people call me the girl who was shot by the Taliban. And some, the girl who fought for her rights.	peace
There is no greater violence than to deny the dreams of our children.	peace
The biggest challenge or biggest crisis knocking on the doors of humankind is fear and intolerance.	peace
I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.	peace
If the human race wishes to have a prolonged and indefinite period of material prosperity, they have only got to behave in a peaceful and helpful way toward one another.	peace
Those who make peaceful revolution impossible will make violent revolution inevitable.	peace
It is an unfortunate fact that we can secure peace only by preparing for war.	peace
The care of human life and happiness, and not their destruction, is the first and only object of good government.	peace
We will not learn how to live together in peace by killing each other’s children.	peace
No, I know all the war rhetoric, but it’s all aimed at achieving peace.	peace
There is nothing so likely to produce peace as to be well prepared to meet the enemy.	peace
If they want peace, nations should avoid the pin-pricks that precede cannon shots.	peace
I believe that to meet the challenges of our times, human beings will have to develop a greater sense of universal responsibility.	peace
Each of us must learn to work not just for oneself, one’s own family or nation, but for the benefit of all humankind. Universal responsibility is the key to human survival. It is the best foundation for world peace.	peace
Peace by persuasion has a pleasant sound, but I think we should not be able to work it. We should have to tame the human race first, and history seems to show that that cannot be done.	peace
Non-cooperation is a measure of discipline and sacrifice, and it demands respect for the opposite views.	peace
Nobody can hurt me without my permission.	peace
But only art and music have the power to bring peace.	peace
Imagine all the people living life in peace. You may say I’m a dreamer, but I’m not the only one. I hope someday you’ll join us, and the world will live as one.	peace
All we are saying is give peace a chance.	peace
Peace is every step.	peace
Peace is its own reward.	peace
Peace begins when expectation ends.	peace
Dream always of a peaceful, warless, disarmed world.	peace
We make war that we may live in peace.	peace
#PeaceDay should be everyday.	peace
Do not let the behavior of others destroy your inner peace.	peace
Every drop in the ocean counts.	peace
Peace without justice is an impossibility.	peace
Love is my weapon. Music is my religion. Peace is in my soul.	peace
I am centered. I am balanced. I am at peace.	peace
Life is much easier when you just chill out.	peace
Peace is never a perfect achievement.	peace
I, too, am America.	peace
Peace is our gift to each other.	peace
Human suffering anywhere concerns men and women everywhere.	peace
One little person, giving all of her time to peace, makes news. Many people, giving some of their time, can make history.	peace
Everyday we do things, we are things that have to do with peace. If we are aware of our life…, our way of looking at things, we will know how to make peace right in the moment, we are alive.	peace
You who are journalists, writers, citizens, you have the right and duty to say to those you have elected that they must practice mindfulness, calm and deep listening, and loving speech. This is universal thing, taught by all religions.	peace
A civilized nation can have no enemies, and one cannot draw a line across a map, a line that doesn’t even exist in nature and say that the ugly enemy lives on the one side, and good friends live on the other.	peace
Peace has to be created, in order to be maintained. It is the product of faith, strength, energy, will, sympathy, justice, imagination, and the triumph of principle. It will never be achieved by passivity and quietism.	peace
Peace is the highest and most strenuous act of the soul, but an entirely harmonious act, in which all our powers and affections are blending in a beautiful proportion, and sustain and perfect one another.	peace
It is more than the silence after storms.	peace
This is peace, and the true happiness of humanity.	peace
If not now, then when? If not you, then who? If we are able to answer these fundamental questions, then perhaps we can wipe away the blot of human slavery.	peace
We who work for peace must not falter. We must continue to pray for peace and to act for peace in whatever way we can, we must continue to speak for peace and to live the way of peace; to inspire others, we must continue to think of peace and to know that peace is possible.	peace
The great teachings unanimously emphasize that all the peace, wisdom, and joy in the universe are already within us; we don’t have to gain, develop, or attain them. We’re like a child standing in a beautiful park with his eyes shut tight. We don’t need to imagine trees, flowers, deer, birds, and sky; we merely need to open our eyes and realize what is already here, who we really are – as soon as we quit pretending we’re small or unholy.	peace
The greatest personalities that ever existed have been those who united human beings and put them on the road toward cooperation and effectiveness and peace. Those whom the world has held highest have helped to unite and not sever interconnectedness. They have not been the destroyers of differences but the harmonizer of differences.	peace
hoose. The single clenched fist lifted and ready, or the open hand held out and waiting. Choose: For we meet by one or the other.	peace
Everyone thinks of changing the world, but no one thinks of changing himself.	peace
Barbecue may not be the road to world peace, but it’s a start.	peace
Fighting for peace is like screwing for virginity.	peace
Perpetual peace is only found in the graveyard.	peace
Dogs are our link to paradise. They don’t know evil or jealousy or discontent. To sit with a dog on a hillside on a glorious afternoon is to be back in Eden, where doing nothing was not boring – it was peace.	peace
While conscience is our friend, all is at peace; however once it is offended, farewell to a tranquil mind.	peace
For peace of mind, resign as general manager of the Universe.	peace
There is peace in the garden. Peace and results.	peace
I first learned the concepts of non-violence in my marriage.	peace
Peace is the virtue of civilization. War is its crime.	peace
In peace the sons bury their fathers, but in war the fathers bury their sons.	peace
Never, ‘for the sake of peace and quiet,’ deny your own experience or convictions.	peace
Let us not deceive ourselves; we must elect world peace or world destruction.	peace
There can be no vulnerability without risk; there can be no community without vulnerability; there can be no peace, and ultimately no life, without community.	peace
When I say it’s you I like, I’m talking about that part of you that knows that life is far more than anything you can ever see or hear or touch. That deep part of you that allows you to stand for those things without which humankind cannot survive. Love that conquers hate, peace that rises triumphant over war, and justice that proves more powerful than greed.	peace
The opposite of peace is indifference to both peace and war—indifference to hunger and persecution, to imprisonment and humiliation, indifference to torture and persecution.	peace
One day we must come to see that peace is not merely a distant goal we seek, but that it is a means by which we arrive at that goal. We must pursue peaceful ends through peaceful means.	peace
The earth is too small a star and we too brief a visitor upon it for anything to matter more than the struggle for peace.	peace
Is it not better for a man to die for a cause in which he believes, such as peace, than to suffer for a cause in which he does not believe, such as war?	peace
They have not wanted Peace at all; they have wanted to be spared war – as though the absence of war was the same as peace.	peace
You talk when you cease to be at peace with your thoughts.	peace
Ultimately the only peace and security you can hope for from your enemies is their disappearance.	peace
nflict is inevitable; you will never have total peace.	peace
When there is no enemy within, the enemies outside cannot hurt you.	peace
While you are proclaiming peace with your lips, be careful to have it even more fully in your heart.	peace
One is left with the horrible feeling now that war settles nothing; that to win a war is as disastrous as to lose one.	peace
If I have been of service, if I have glimpsed more of the nature and essence of ultimate good, if I am inspired to reach wider horizons of thought and action, if I am at peace with myself, it has been a successful day.	peace
Those who are at war with others are not at peace with themselves.	peace
We are not going to deal with the violence in our communities, our homes, and our nation, until we learn to deal with the basic ethic of how we resolve our disputes and to place an emphasis on peace in the way we relate to one another.	peace
We have two ears and one mouth, so we should listen more than we say.	peace
Everyone’s a pacifist between wars. It’s like being a vegetarian between meals.	peace
Thou hast made us for thyself, O Lord, and our heart is restless until it finds its rest in thee.	peace
It’s time for us to turn to each other, not on each other.	peace
Dad, how do soldiers killing each other solve the world’s problems?	peace
Be selective in your battles. Sometimes peace is better than being right.	peace
Either war is obsolete or men are.	peace
In union there is strength.	peace
Respect for the rights of others means peace.	peace
I believe in the brotherhood of all men, but I don’t believe in wasting brotherhood on anyone who doesn’t want to practice it with me. Brotherhood is a two-way street.	peace
We seek peace, knowing that peace is the climate of freedom.	peace
Peace begins with tolerance and respect for everyone.	peace
There is no force that can put an end to the human quest for freedom.	peace
You can have peace. Or you can have freedom. Don’t ever count on having both at once.	peace
Almost all of us long for peace and freedom; but very few of us have much enthusiasm for the thoughts, feelings, and actions that make for peace and freedom.	peace
There is in this world no such force as the force of a person determined to rise. The human soul cannot be permanently chained.	peace
Human beings, indeed all sentient beings, have the right to pursue happiness and live in peace and freedom.	peace
Peace can only last where human rights are respected, where the people are fed, and where individuals and nations are free.	peace
The well-being and the hopes of the peoples of the world can never be served until peace – as well as freedom, honor and self-respect – is secure.	peace
Brotherhood is the very price and condition of man’s survival.	peace
On this shrunken globe, men can no longer live as strangers.	peace
Every soul is beautiful and precious; is worthy of dignity and respect, and deserving or peace, joy and love.	peace
The universal brotherhood of man is our most precious possession.	peace
Help one another is part of the religion of our sisterhood.	peace
Nobody’s free until everybody’s free.	peace
Every act of love is a work of peace no matter how small.	peace
Whenever you are confronted with an opponent. Conquer him with love.	peace
That’s all nonviolence is – organized love.	peace
Every human longs for peace and love.	peace
If someone thinks that love and peace is a cliché that must have been left behind in the Sixties, that’s his problem. Love and peace are eternal.	peace
Hatred paralyzes life; love releases it. Hatred confuses life; love harmonizes it. Hatred darkens life; love illuminates it.	peace
In recognizing the humanity of our fellow beings, we pay ourselves the highest tribute.	peace
Without justice and love, peace will always be the great illusion.	peace
Love and peace of mind do protect us. They allow us to overcome the problems that life hands us. They teach us to survive… to live now… to have the courage to confront each day.	peace
Forgive others, not because they deserve forgiveness, but because you deserve peace.	peace
When you forgive, you in no way change the past – but you sure do change the future.	peace
Love – giving and receiving from the heart – involves peace.	peace
Lord, make me an instrument of thy peace. Where there is hatred, let me sow love.	peace
Forgiveness says you are given another chance to make a new beginning.	peace
The greatest degree of inner tranquility comes from the development of love and compassion. The more we care for the happiness of others, the greater is our own sense of well-being.	peace
When we feel love and kindness towards others, it not only makes others feel loved and cared for, but it helps us also to develop inner happiness and peace.	peace
mpassion is more important than intellect in calling forth the love that the work of peace needs, and intuition can often be a far more powerful searchlight than cold reason.	peace
Harmony is one phase of the law whose spiritual expression is love.	peace
Smile creates love and peace; love and peace create smile.	peace
We do not want riches, we want peace and love.	peace
I still believe in peace, love and understanding.	peace
He knows peace who has forgotten desire.	peace
Anything is possible when you have inner peace.	peace
What I dream of is an art of balance.	peace
Never be in a hurry; do everything quietly and in a calm spirit. Do not lose your inner peace for anything whatsoever, even if your whole world seems upset.	peace
Simple kindness may be the most vital key to the riddle of how human beings can live with each other in peace, and care properly for this planet we all share.	peace
It’s so hard to forget pain, but it’s even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.	peace
Until you make peace with who you are, you’ll never be content with what you have.	peace
Every morning, when we wake up, we have twenty-four brand-new hours to live. What a precious gift! We have the capacity to live in a way that these twenty-four hours will bring peace, joy, and happiness to ourselves and others.	peace
A great deal of chaos in the world occurs because people don’t appreciate themselves. Having never developed sympathy or gentleness toward themselves, they cannot experience harmony or peace within themselves, and therefore, what they project to others is also inharmonious and confused.	peace
When you find peace within yourself, you become the kind of person who can live at peace with others.	peace
Meditation is applying mindfulness without feelings of being hurried or under pressure.	peace
Each one has to find his peace from within. And peace to be real must be unaffected by outside circumstances.	peace
Happiness is when what you think, what you say, and what you do are in harmony.	peace
You find peace not by rearranging the circumstances of your life, but by realizing who you are at the deepest level.	peace
Those who have experienced the most, have suffered so much that they have ceased to hate. Hate is more for those with a slightly guilty conscience, and who by chewing on old hate in times of peace wish to demonstrate how great they were during the war.	peace
People spend a lifetime searching for happiness; looking for peace. They chase idle dreams, addictions, religions, even other people, hoping to fill the emptiness that plagues them. The irony is the only place they ever needed to search was within.	peace
Gratitude is one of the sweet shortcuts to finding peace of mind and happiness inside. No matter what is going on outside of us, there’s always something we could be grateful for.	peace
Promise yourself to be so strong that nothing can disturb your peace of mind.	peace
Balance, peace, and joy are the fruit of a successful life. It starts with recognizing your talents and finding ways to serve others by using them.	peace
The calm and balanced mind is the strong and great mind; the hurried and agitated mind is the weak one.	peace
Live life in harmony. Balance the elements of life around you to live in peace. Let your worries go. Do not stress over things you cannot control. Live and be.	peace
Inner peace is the key: if you have inner peace, the external problems do not affect your deep sense of peace and tranquility. In that state of mind you can deal with situations with calmness and reason, while keeping your inner happiness. This is very important. Without this inner peace, no matter how comfortable your life is materially, you may still be worried, disturbed or unhappy because of circumstances.	peace
True peace with oneself and with the world around us can only be achieved through the development of mental peace. The other phenomena mentioned above are similarly interrelated.	peace
When you do the right thing, you get the feeling of peace and serenity associated with it. Do it again and again.	peace
Symptoms of Inner Peace: 1) A tendency to think and act spontaneously rather than on fears based on past experience 2) An unmistakable ability to enjoy each moment 3) A loss of interest in judging other people 4) A loss of interest in judging self.	peace
Success is peace of mind which is a direct result of knowing u did your best to become the best that u are capable of being.	peace
The answer lies within ourselves. If we can’t find peace and happiness there, it’s not going to come from the outside.	peace
Never waste valuable time, or mental peace of mind, on the affairs of others—that is too high a price to pay.	peace
Happiness is not a matter of intensity but of balance and order and rhythm and harmony.	peace
It’s important to be comfortable with uncertainty.	peace
There is a calmness to a life lived in gratitude, a quiet joy.	peace
The balance of power is the scale of peace.	peace
We do not need guns and bombs to bring peace, we need love and compassion.	peace
It’s my conviction that nothing enduring can be built on violence.	peace
Establishing lasting peace is the work of education; all politics can do is keep us out of war.	peace
Nothing is more precious than peace. Peace is the most basic starting point for the advancement of humankind.	peace
We must always take sides. Neutrality helps the oppressor, never the victim. Silence encourages the tormentor, never the tormented.	peace
We cannot have peace if we are only concerned with peace. War is not an accident. It is the logical outcome of a certain way of life. If we want to attack war, we have to attack that way of life.	peace
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.	peace
Even if we are spared destruction by war, our lives will have to change if we want to save life from self-destruction.	peace
The real and lasting victories are those of peace, and not of war.	peace
One doesn’t make peace with one’s friends. One makes peace with one’s enemies.	peace
Every thought, every word, and every action that adds to the positive and the wholesome is a contribution to peace. Each and every one of us is capable of making such a contribution.	peace
We tend to think the problem is human beings have this natural tendency to kill, and yet in the middle of a hot war, WWII, a ‘good war,’ as it were, the US army was astonished to learn that at least three out of every four riflemen who were trained to kill and commanded to kill, could not bring themselves to pull the trigger when they could see the person they were ordered to kill. And that inner resistance to violence is a well kept secret.	peace
It isn’t enough to talk about peace. One must believe in it. And it isn’t enough to believe in it. One must work at it.	peace
Brute force, no matter how strongly applied, can never subdue the basic human desire for freedom.	peace
There are two ways of resisting war: the legal way and the revolutionary way. The legal way involves the offer of alternatinve service not as a privilege for a few but as a right for all. The revolutionary view involves an uncompromising resistance, with a view to breaking the power of militarism in time of peace or the resources of the state in time of war.	peace
We must be prepared to make the same heroic sacrifices for the cause of peace that we make ungrudgingly for the cause of war.	peace
The pioneers of a warless world are the young men (and women) who refuse military service.	peace
All roads are good, if they lead to justice.	peace
When the whole world is silent, even one voice becomes powerful.	peace
Nonviolence is the first article of my faith. It is also the last article of my creed.	peace
Peace may sound simple – one beautiful word – but it requires everything we have, every quality, every strength, every dream, every high ideal.	peace
Each time a man stands up for an ideal, or acts to improve the lot of others, or strikes out against injustice, he sends forth a tiny ripple of hope.	peace
To solve the problem of organizing world peace we must establish world law and order.	peace
Let us not accept violence as the way of peace. Let us instead begin by respecting true freedom: the resulting peace will be able to satisfy the world’s expectations, for it will be a peace built on justice, a peace founded on the incomparable dignity of the free human being.	peace
When we dehumanise and demonise our opponents, we abandon… possibility of peacefully resolving our differences.	peace
You cannot say you’ve achieved equality until everyone is equal and has equal opportunities!	peace
All who affirm the use of violence admit it is only a means to achieve justice and peace. But peace and justice are nonviolence…the final end of history. Those who abandon nonviolence have no sense of history. Rather they are bypassing history, freezing history, betraying history.	peace
nsumption patterns continue at the expense of the environment and peaceful co-existence. The choice is ours.	peace
The peace and welfare of this and coming generations of Americans will be secure only as we cling to the watchword of true patriotism: “Our country — when right to be kept right; when wrong to be put right.	peace
Peace is not the absence of conflict but the presence of creative alternatives for responding to conflict – alternatives to passive or aggressive responses, alternatives to violence.	peace
The pursuit of peace and progress cannot end in a few years in either victory or defeat. The pursuit of peace and progress, with its trials and its errors, its successes and its setbacks, can never be relaxed and never abandoned.	peace
Peace is a question of will. All conflicts can be settled, and there are no excuses for allowing them to become eternal.	peace
Today, peace means the ascent from simple coexistence to cooperation and common creativity among countries and nations.	peace
That idea of peace and love toward humanity shouldn’t be nationalistic or denominational. It should be a chief concern for all mankind.	peace
What is important is that we each make a sincere effort to take our responsibility for each other and for the natural environment we live in seriously.	peace
If there is love, there is hope that one may have real families, real brotherhood, real equanimity, real peace.	peace
There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.	peace
When we respect everybody around us, we are in peace with everybody around us.	peace
Mankind must give up war in the Atomic Era. What is at stake is the life or death of humanity.	peace
He who cherishes the value of cultures cannot fail to be a pacifist.	peace
If there is to be peace in the world, there must be peace in the nations. If there is to be peace in the nations, there must be peace in the cities. If there is to be peace in the cities, there must be peace between neighbors. If there is to be peace between neighbors, there must be peace in the home. If there is to be peace in the home, there must be peace in the heart.	peace
